	UMAP1	UMAP2
medtr_mappings/paired/SRR5721285/abundance	-4.2541738	1.8195907
medtr_mappings/paired/SRR5740871/abundance	6.927481	-1.1010197
medtr_mappings/paired/SRR949257/abundance	5.4423184	-0.08776121
medtr_mappings/paired/ERR1830527/abundance	3.189001	0.372845
medtr_mappings/paired/SRR8093912/abundance	4.363355	-0.7167382
medtr_mappings/paired/SRR949234/abundance	6.921787	0.39567682
medtr_mappings/paired/SRR5732297/abundance	3.1244578	-0.08594201
medtr_mappings/paired/SRR5721249/abundance	3.8227673	-0.44246376
medtr_mappings/paired/ERR1830535/abundance	3.586323	-0.29917726
medtr_mappings/paired/SRR2015980/abundance	9.439481	0.26263273
medtr_mappings/paired/SRR5721236/abundance	-4.2226005	2.0009193
medtr_mappings/paired/SRR2016013/abundance	8.980045	0.4290219
medtr_mappings/paired/SRR5721270/abundance	-3.730618	1.5110232
medtr_mappings/paired/ERR1830517/abundance	3.45406	0.2692301
medtr_mappings/paired/SRR1975015/abundance	5.2009187	-2.0827115
medtr_mappings/paired/ERR1830522/abundance	3.0475252	-0.19271758
medtr_mappings/paired/SRR949598/abundance	6.7921467	0.34046322
medtr_mappings/paired/SRR2015998/abundance	9.695146	0.24720635
medtr_mappings/paired/SRR3476740/abundance	4.751707	-0.9436952
medtr_mappings/paired/SRR5732300/abundance	3.5567648	-0.5035401
medtr_mappings/paired/SRR2016012/abundance	9.738084	-0.24211265
medtr_mappings/paired/SRR5721224/abundance	-3.7797942	1.630958
medtr_mappings/paired/SRR6283646/abundance	3.095821	-0.2505128
medtr_mappings/paired/SRR3476742/abundance	4.368085	-1.2566992
medtr_mappings/paired/SRR2910685/abundance	7.1667933	-1.2957014
medtr_mappings/paired/SRR5721254/abundance	-3.852767	1.5521344
medtr_mappings/paired/SRR949244/abundance	6.1475234	0.032523237
medtr_mappings/paired/SRR2015968/abundance	10.020842	-0.5473967
medtr_mappings/paired/SRR2016019/abundance	10.153888	0.0938481
medtr_mappings/paired/SRR6283636/abundance	7.580175	-0.7657096
medtr_mappings/paired/SRR4409154/abundance	-3.5665712	0.54864556
medtr_mappings/paired/SRR504357/abundance	-1.4375511	2.058676
medtr_mappings/paired/SRR7772258/abundance	-2.5821197	3.4808447
medtr_mappings/paired/SRR949258/abundance	5.1916904	-0.07813764
medtr_mappings/paired/SRR5740863/abundance	7.0386844	-1.0768014
medtr_mappings/paired/SRR7738227/abundance	-6.555202	3.0647418
medtr_mappings/paired/SRR5721277/abundance	3.9211483	-0.4139912
medtr_mappings/paired/ERR2193164/abundance	5.9845605	-1.8124164
medtr_mappings/paired/SRR2016001/abundance	9.974765	0.20890538
medtr_mappings/paired/SRR6283630/abundance	3.1127255	-0.038140804
medtr_mappings/paired/SRR7738226/abundance	-6.671955	3.0973172
medtr_mappings/paired/ERR1830529/abundance	3.4206758	-0.5043341
medtr_mappings/paired/SRR5721256/abundance	-3.2395625	1.0897272
medtr_mappings/paired/SRR4409153/abundance	-3.4429357	1.6602744
medtr_mappings/paired/SRR949267/abundance	6.818945	0.17736936
medtr_mappings/paired/SRR5740859/abundance	4.3560114	-0.35870942
medtr_mappings/paired/SRR1975014/abundance	5.2463975	-2.278332
medtr_mappings/paired/SRR5721273/abundance	3.522036	0.01213489
medtr_mappings/paired/SRR5721220/abundance	3.6052644	-0.21705592
medtr_mappings/paired/SRR2016005/abundance	10.009305	0.30571073
medtr_mappings/paired/SRR949232/abundance	6.801772	0.36454523
